description,nom_localisation,salarie_nombre,telephone
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
